TIME[s],STATE1,STATE2,ACTION
      0,0.9960,0.0040,0.0056
      1,1.0000,0.0000,0.0087
      2,1.0000,0.0000,0.0068
      3,1.0000,0.0000,0.0165
      4,0.9999,0.0001,0.0626
      5,1.0000,0.0000,0.0409
      6,0.9998,0.0002,0.0171
      7,1.0000,0.0000,0.0717
      8,1.0000,0.0000,0.0084
      9,1.0000,0.0000,0.0070
     10,1.0000,0.0000,0.0243
     11,1.0000,0.0000,0.0040
     12,1.0000,0.0000,0.0039
     13,1.0000,0.0000,0.0036
     14,1.0000,0.0000,0.0026
     15,1.0000,0.0000,0.0039
     16,1.0000,0.0000,0.0108
     17,1.0000,0.0000,0.0108
     18,0.9999,0.0001,0.0366
     19,1.0000,0.0000,0.0108
     20,0.9999,0.0001,0.0215
     21,0.9999,0.0001,0.0171
     22,0.9997,0.0003,0.0479
     23,0.9994,0.0006,0.0281
     24,0.9999,0.0001,0.0283
     25,0.9999,0.0001,0.0288
     26,1.0000,0.0000,0.0374
     27,0.9999,0.0001,0.0256
     28,0.9667,0.0333,0.0208
     29,1.0000,0.0000,0.0295
     30,0.9999,0.0001,0.0189
     31,1.0000,0.0000,0.0045
     32,0.0059,0.9941,0.0343
     33,1.0000,0.0000,0.0079
     34,0.9999,0.0001,0.0258
     35,0.9999,0.0001,0.0220
     36,0.9999,0.0001,0.0276
     37,0.9917,0.0083,0.0200
     38,0.9999,0.0001,0.0331
     39,0.9983,0.0017,0.0240
     40,0.9986,0.0014,0.0087
     41,0.9992,0.0008,0.0259
     42,0.9213,0.0787,0.0455
     43,0.9998,0.0002,0.0191
     44,0.9807,0.0193,0.0138
     45,0.9195,0.0805,0.0196
     46,0.9991,0.0009,0.0122
     47,0.9994,0.0006,0.0185
     48,0.7080,0.2920,0.0683
     49,0.7855,0.2145,0.0475
     50,0.0317,0.9683,0.3726
     51,0.7026,0.2974,0.4496
     52,0.4728,0.5272,0.1836
     53,0.1328,0.8672,0.7885
     54,0.2205,0.7795,0.3262
     55,0.2358,0.7642,0.4127
     56,0.6479,0.3521,0.1899
     57,0.0375,0.9625,0.2909
     58,0.0006,0.9994,0.9878
     59,0.0629,0.9371,0.1698
     60,0.0362,0.9638,0.3802
     61,0.0263,0.9737,0.5290
     62,0.0270,0.9730,0.6113
     63,0.0147,0.9853,0.6401
     64,0.2485,0.7515,0.8302
     65,0.0098,0.9902,0.9646
     66,0.0073,0.9927,0.9255
     67,0.1692,0.8308,0.7839
     68,0.0725,0.9275,0.1828
     69,0.0019,0.9981,0.7877
     70,0.0045,0.9955,0.3758
     71,0.0888,0.9112,0.8265
     72,0.0010,0.9990,0.5870
     73,0.0012,0.9988,0.8962
     74,0.0753,0.9247,0.9091
     75,0.3280,0.6720,0.3052
     76,0.2607,0.7393,0.7509
     77,0.0116,0.9884,0.9482
     78,0.0091,0.9909,0.8712
     79,0.1106,0.8894,0.6485
     80,0.0004,0.9996,0.9449
     81,0.1052,0.8948,0.8734
     82,0.3622,0.6378,0.8198
     83,0.4967,0.5033,0.3259
     84,0.0006,0.9994,0.8675
     85,0.0212,0.9788,0.7583
     86,0.0087,0.9913,0.4265
     87,0.0002,0.9998,0.6796
     88,0.0003,0.9997,0.0894
     89,0.0014,0.9986,0.0220
